1,[lmroman10-regular]:+tlig;,62,0048,9782559,46515935,408
1,[lmroman10-regular]:+tlig;,50,0065,10274079,46515935,409
1,[lmroman10-regular]:+tlig;,72,006C,10565059,46515935,410
1,[lmroman10-regular]:+tlig;,72,006C,10747249,46515935,411
1,[lmroman10-regular]:+tlig;,81,006F,10929439,46515935,412
1,[lmroman10-regular]:+tlig;,113,0057,11475354,46515935,417
1,[lmroman10-regular]:+tlig;,81,006F,12094669,46515935,422
1,[lmroman10-regular]:+tlig;,96,0072,12422349,46515935,423
1,[lmroman10-regular]:+tlig;,72,006C,12679250,46515935,424
1,[lmroman10-regular]:+tlig;,47,0064,12861440,46515935,425
1,[lmroman10-regular]:+tlig;,53,0021,13225820,46515935,426
1,[lmroman10-regular]:+tlig;,121,0030,13698990,46515935,431
1,[lmroman10-regular]:+tlig;,82,0031,14026670,46515935,432
1,[lmroman10-regular]:+tlig;,107,0032,14354350,46515935,433
1,[lmroman10-regular]:+tlig;,106,0033,14682030,46515935,434
1,[lmroman10-regular]:+tlig;,57,0034,15009710,46515935,435
1,[lmroman10-regular]:+tlig;,56,0035,15337390,46515935,436
1,[lmroman10-regular]:+tlig;,101,0036,15665070,46515935,437
1,[lmroman10-regular]:+tlig;,100,0037,15992750,46515935,438
1,[lmroman10-regular]:+tlig;,51,0038,16320430,46515935,439
1,[lmroman10-regular]:+tlig;,78,0039,16648110,46515935,440
1,myriadpro-black,72,,9782559,45729503,483
1,myriadpro-black,101,,10244587,45729503,484
1,myriadpro-black,108,,10597825,45729503,485
1,myriadpro-black,108,,10789190,45729503,486
1,myriadpro-black,111,,10980555,45729503,487
1,myriadpro-black,87,,11366561,45729503,488
1,myriadpro-black,111,,11960317,45729503,489
1,myriadpro-black,114,,12346323,45729503,490
1,myriadpro-black,108,,12610433,45729503,491
1,myriadpro-black,100,,12801798,45729503,492
1,myriadpro-black,33,,13201567,45729503,493
1,myriadpro-black,48,,13387689,45729503,494
1,myriadpro-black,49,,13763210,45729503,495
1,myriadpro-black,50,,14138731,45729503,496
1,myriadpro-black,51,,14514252,45729503,497
1,myriadpro-black,52,,14889773,45729503,498
1,myriadpro-black,53,,15265294,45729503,499
1,myriadpro-black,54,,15640815,45729503,500
1,myriadpro-black,55,,16016336,45729503,501
1,myriadpro-black,56,,16391857,45729503,502
1,myriadpro-black,57,,16767378,45729503,503
1,[lmroman10-regular]:+tlig;,82,0031,19940639,9160415,519
